id,word,meaning_en,meaning_kr,english_form,eng_def,sentence_kr,sentence_en,level,level_label,dict_level,pos,dict_pos,has_entry
1083,골,Goal,비위에 거슬리거나 언짢은 일로 내는 화.,anger,The anger about an incident that is displeasing or unpleasant.,아이는 아버지가 생일 선물을 안 사왔다고 골이 났다.,,C,Advanced,,1,명사,1
1084,공업,The industry or  manufacturing industry,사람의 손이나 기계로 원료를 가공하여 상품이나 재료를 만드는 산업.,manufacturing industry,An industry that makes goods or materials by manufacturing raw material by hand or machine.,우리나라의 공업 구조는 경공업 중심에서 중화학 중심으로 바뀌었다.,,C,Advanced,중급,1,명사,1
1085,그중,Among the rest of them,일정한 범위 안에 있는 여러 개 가운데.,among the rest; among them,Being among many things within a certain scope.,내 친구들은 모두 잘생겼지만 그중에서 승규가 제일 잘생기고 멋있다.,,B,Intermediate,중급,1,명사,1
1086,노인,Old person,나이가 들어 늙은 사람.,old person; the aged; senior citizen,A person who is old.,한낮에 공원에는 할 일 없는 노인들만이 여기저기 앉아 있었다.,,B,Intermediate,초급,1,명사,1
1087,벌다,"To earn (money) ; (2) to invite, to bring onto oneself",일을 하여 돈을 얻거나 모으다.,make; earn,To obtain or save money by doing some work.,언니는 생활비가 부족해 퇴근 후 부업으로 돈을 벌었다.,,B,Intermediate,초급,2,동사,1
1088,살리다,"1) revive, bring around, restore to life  2) save,spare,rescue",생명을 지니게 하다.,keep someone alive; bring someone to life; save someone's life,To make someone or something maintain his/her or its life.,그 의사는 많은 환자들을 살렸다.,,B,Intermediate,중급,1,동사,1
1089,새,A bird,한 물체에서 다른 물체까지 또는 한곳에서 다른 곳까지의 거리나 공간.,gap; space,The distance or space between one object and another or between one place and another. ,나는 이빨 새에 낀 음식을 이쑤시개로 빼냈다.,,A,Beginner,중급,1,명사,1
1090,영어,The english language,영국과 미국 등 세계적으로 가장 널리 쓰이는 언어.,English,"The most widely used language in the world, spoken in the UK and the US. ",나는 미국에 갔을 때 영어를 잘 못해서 고생한 경험이 있다.,,A,Beginner,초급,1,명사,1
1091,출신,"A native, place one is from",출생 당시 가정이 속한 사회적 신분.,social status,The social status level one's family belongs to at the time of one's birth.,이 영화는 평민 출신으로 부자가 된 주인공이 귀족 흉내를 내며 벌어지는 재미있는 일들을 다룬 내용이다.,,C,Advanced,중급,1,명사,1
1092,결정,A decision or  determination,무엇을 어떻게 하기로 분명하게 정함. 또는 그렇게 정해진 내용.,decision,Deciding a goal and the method of reaching it clearly or the decided content.,나는 충분히 생각한 끝에 유학을 가기로 결정을 내렸다.,,B,Intermediate,초급,1,명사,1
1093,경향,Tendency or  trend,어느 한 방향으로 기울어진 생각이나 행동 혹은 현상.,tendency; inclination,"An action, thought, or phenomenon that leans toward one direction. ",지수는 화가 나면 과식을 하는 경향을 보인다.,,C,Advanced,중급,1,명사,1
1094,기록,A record or  a document,주로 후일에 남길 목적으로 어떤 사실이나 생각을 적거나 영상으로 남김. 또는 그런 글이나 영상.,record; documentation,The act of writing or videotaping facts or thoughts to leave them to posterity; or such a writing or video.,나는 결혼식장에 가서 방명록에 축하 기록을 남겼다.,,C,Advanced,중급,1,명사,1
